revenue_diversity_score,view_count_sum,channel,name_cc
2,70378.0,UC-cpLgC7mCiMba_spDjuY7Q,MegaCapitalG
1,35924.0,UC-cunP8a31L-w_MCBGCxEBw,Esthetician Jaq Gibs...
4,404493.0,UC-cvr0hPQlFdi_u5ECxoCVg,Sarah Anne
2,391.0,UC-d-99bE0RG2aqQe1QuqxzQ,prakash arul
0,4455.0,UC-d00QKl9IQKMCy5HVlbwWw,panjab2000
2,56887.0,UC-d6JGkTbo6NGNlt6xigmmA,Felicity Queen
4,1531505.0,UC-dLWl8etTtPSGdbbcYffGw,Bitcoin Trading Chal...
1,2937331.0,UC-dch3BP4gKHC4cec0PU1PA,MoneySavingVideos
5,14390076.0,UC-dmJ79518WlKMbsu50eMTQ,Clark Kegley - Refus...
5,10569.0,UC-dxECMe94dY2KTdZXVBZcA,Shu
2,8390.0,UC-dxlCijk41ZxR2aUc3kinQ,ModernMom
1,480.0,UC-dzYzT64qsxk4PHdVImIjg,AskJoshy Gaming
1,5592.0,UC-eREI-ZTEqrl4Shoc7hthw,cindy garay
1,6476.0,UC-eXeTQtRAHf43HYGfVIE1w,GOWSeriesVideos
0,5426.0,UC-efTeEJZdYhIXP7FUcdQiA,SavageGR
5,30474.0,UC-ey0mkuWDhxbKeZaJWpXxw,Old World Home
1,25.0,UC-f-EC3-yv-_Ok-m5Dd5akw,KGUN9
5,582809.0,UC-f5nPBEDyUBZz_jOPBwAfQ,Brandon Kelly Crypto...
1,48724.0,UC-fT-Q0QqPbsJssBK7LhuiQ,Negosyo Recipes
3,1240675.0,UC-fd1rkY70Oj2Aa9HiTgBpw,N¡gh†m∆res ∆n...
0,7943.0,UC-fxbD6JdeIhXJSiaQFya-w,Hope Paranormal Whit...
3,184375.0,UC-gFGHDQhpzmYCRkYHctyug,Jammy Beatz
2,2812354.0,UC-g_O9HWb5B0rVDG1hLd5Hw,Eystreem
5,902814.0,UC-ga3onzHSJFAGsIebtVeBg,Lavendaire
4,85937.0,UC-gdyEpL6WLybaUGve93KUA,A Colorful Life
4,57001.0,UC-hTi9atsD6wAl2s46LpAVw,Crafted Workshop
2,113.0,UC-htEWSorrVhq7u0cS3Pctw,IranClips
3,278.0,UC-hxYYu8Dai3G1H7JLQNLSA,Food Invention
4,153099.0,UC-i64EAeVzk7gxlLDvWQb3w,Active Self Protecti...
4,146089.0,UC-iAKVXqFd0JUyhgfiVV7uw,enrigue8
3,1965.0,UC-iNft4KceyBW18t-nfQuEw,Frank Vaughan
4,301273.0,UC-ijl-ziWB0DxCcW4bXuHyQ,FOWTB
3,294384.0,UC-ir6MfYIuyvVJS_DhOhcJw,Be. Busta
3,21958.0,UC-ivJVv3GtB_w_lpk_WQxHw,The Rideshare Hub
0,5704.0,UC-j-oMIwvnNBwtXmC4s4OPQ,Felipe NIN
2,37299.0,UC-jPqsBeg5F_9zACfNHwLrw,Finding Footage
0,4343.0,UC-jeysc9SM81n6fWoCiLxtg,charlycheer
3,179833.0,UC-jhZdJL4gDmATXCqMkM7pA,EtherealExposition
5,122887.0,UC-jkG8j18yHJH7ejSnk5Zlw,spikeymikey
1,41839.0,UC-jycnMsWIjlivIC6Ksq2Hg,Sneaker Chefs
2,20986.0,UC-k-O6psaHBwJvjsT65CUpA,Mass Tea Party - Wak...
3,1017.0,UC-kFH2fpyttdWAWmJLqT7aQ,Honeywell
1,5650.0,UC-kQ_WadZ6xo8UyCmITmXjw,Carnell Pickett
1,28439.0,UC-kXUyNzCw-0QvBrTA1Lb1g,Kat Theo
3,115548.0,UC-kXZuu9iuFFzfGZKcVOamQ,Credit Karma
1,113892.0,UC-kezFAw46x-9ctBUqVe86Q,Amaz Hearthstone
0,170.0,UC-l-m5U9dwKFuYqMnsc3f0A,Ammar Legato
